"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","EXCH","TOT","NATUSD","A","1990",21.145,
"CZE","EXCH","TOT","NATUSD","A","1991",27.92,
"CZE","EXCH","TOT","NATUSD","A","1992",28.37,
"CZE","EXCH","TOT","NATUSD","A","1993",29.152833,
"CZE","EXCH","TOT","NATUSD","A","1994",28.785083,
"CZE","EXCH","TOT","NATUSD","A","1995",26.540667,
"CZE","EXCH","TOT","NATUSD","A","1996",27.144917,
"CZE","EXCH","TOT","NATUSD","A","1997",31.698417,
"CZE","EXCH","TOT","NATUSD","A","1998",32.281167,
"CZE","EXCH","TOT","NATUSD","A","1999",34.56925,
"CZE","EXCH","TOT","NATUSD","A","2000",38.598417,
"CZE","EXCH","TOT","NATUSD","A","2001",38.035328,
"CZE","EXCH","TOT","NATUSD","A","2002",32.738518,
"CZE","EXCH","TOT","NATUSD","A","2003",28.209,
"CZE","EXCH","TOT","NATUSD","A","2004",25.69975,
"CZE","EXCH","TOT","NATUSD","A","2005",23.957417,
"CZE","EXCH","TOT","NATUSD","A","2006",22.595583,
"CZE","EXCH","TOT","NATUSD","A","2007",20.293667,
"CZE","EXCH","TOT","NATUSD","A","2008",17.071667,
"CZE","EXCH","TOT","NATUSD","A","2009",19.063,
"CZE","EXCH","TOT","NATUSD","A","2010",19.09825,
"CZE","EXCH","TOT","NATUSD","A","2011",17.695917,
"CZE","EXCH","TOT","NATUSD","A","2012",19.5775,
"CZE","EXCH","TOT","NATUSD","A","2013",19.570583,
"CZE","EXCH","TOT","NATUSD","A","2014",20.7575,
"CZE","EXCH","TOT","NATUSD","A","2015",24.59875,
"CZE","EXCH","TOT","NATUSD","A","2016",24.439917,
"CZE","EXCH","TOT","NATUSD","A","2017",23.376333,
"POL","EXCH","TOT","NATUSD","A","1989",0.143918,
"POL","EXCH","TOT","NATUSD","A","1990",0.95,
"POL","EXCH","TOT","NATUSD","A","1991",1.057606,
"POL","EXCH","TOT","NATUSD","A","1992",1.362643,
"POL","EXCH","TOT","NATUSD","A","1993",1.811497,
"POL","EXCH","TOT","NATUSD","A","1994",2.272277,
"POL","EXCH","TOT","NATUSD","A","1995",2.424983,
"POL","EXCH","TOT","NATUSD","A","1996",2.6961,
"POL","EXCH","TOT","NATUSD","A","1997",3.279292,
"POL","EXCH","TOT","NATUSD","A","1998",3.4754,
"POL","EXCH","TOT","NATUSD","A","1999",3.967108,
"POL","EXCH","TOT","NATUSD","A","2000",4.346075,
"POL","EXCH","TOT","NATUSD","A","2001",4.0939,
"POL","EXCH","TOT","NATUSD","A","2002",4.080033,
"POL","EXCH","TOT","NATUSD","A","2003",3.889075,
"POL","EXCH","TOT","NATUSD","A","2004",3.657642,
"POL","EXCH","TOT","NATUSD","A","2005",3.235483,
"POL","EXCH","TOT","NATUSD","A","2006",3.103158,
"POL","EXCH","TOT","NATUSD","A","2007",2.76795,
"POL","EXCH","TOT","NATUSD","A","2008",2.409242,
"POL","EXCH","TOT","NATUSD","A","2009",3.120142,
"POL","EXCH","TOT","NATUSD","A","2010",3.0153,
"POL","EXCH","TOT","NATUSD","A","2011",2.962848,
"POL","EXCH","TOT","NATUSD","A","2012",3.256542,
"POL","EXCH","TOT","NATUSD","A","2013",3.160617,
"POL","EXCH","TOT","NATUSD","A","2014",3.154542,
"POL","EXCH","TOT","NATUSD","A","2015",3.7695,
"POL","EXCH","TOT","NATUSD","A","2016",3.942783,
"POL","EXCH","TOT","NATUSD","A","2017",3.779333,
"SVK","EXCH","TOT","NATUSD","A","1993",1.021363,
"SVK","EXCH","TOT","NATUSD","A","1994",1.063694,
"SVK","EXCH","TOT","NATUSD","A","1995",0.986305,
"SVK","EXCH","TOT","NATUSD","A","1996",1.017518,
"SVK","EXCH","TOT","NATUSD","A","1997",1.115852,
"SVK","EXCH","TOT","NATUSD","A","1998",1.169535,
"SVK","EXCH","TOT","NATUSD","A","1999",1.372995,
"SVK","EXCH","TOT","NATUSD","A","2000",1.528088,
"SVK","EXCH","TOT","NATUSD","A","2001",1.605086,
"SVK","EXCH","TOT","NATUSD","A","2002",1.504572,
"SVK","EXCH","TOT","NATUSD","A","2003",1.220637,
"SVK","EXCH","TOT","NATUSD","A","2004",1.070733,
"SVK","EXCH","TOT","NATUSD","A","2005",1.029617,
"SVK","EXCH","TOT","NATUSD","A","2006",0.985768,
